"year","war","ccodea","ccodeb","original","contig.x","rivals","allies","democ_a","pow_prev","mil_prev","pow_abs","mil_abs","relpow","rate","powershift","lndistance","contig.y","dem","s_un_glo","peaceyrs","peaceyrs2","peaceyrs3","real"
1903,1,740,365,1,1,1,1,0,-0.00193899997975677,-0.00688799982890487,0.00193899997975677,0.00688799982890487,0.238131567835808,2.785,-0.182087659835815,8.44548225402832,0,0,0.81395298242569,2,4,8,2.450974506
1903,0,640,360,1,0,0,0,0,0,0,0,0,0.244259044528008,2.785,0.0180420726537704,6.1441855430603,1,0,0.761905014514923,25,625,15625,2.450974506
1904,0,90,220,1,0,0,0,0,-0.000280300009762868,-0.000495799991767853,0.000280300009762868,0.000495799991767853,0.00537669798359275,2.86,0.00298523902893066,8.62927150726318,0,0,0.857142984867096,36,1296,46656,2.440323944
1905,0,300,160,1,0,0,0,0,0.00193000002764165,0.00188999995589256,0.00193000002764165,0.00188999995589256,0.0929923132061958,2.81,-0.0168616995215416,8.90299987792969,0,0,0.767441987991333,64,4096,262144,2.221918134
1905,0,235,325,1,0,0,0,0,-0.000745599973015487,-0.00096600002143532,0.000745599973015487,0.00096600002143532,0.136182308197021,2.81,-0.0345078706741333,7.05444955825806,0,0,0.689921975135803,98,9604,941192,2.221918134
1906,1,90,91,0,1,0,0,0,0.00925999972969294,-0.0111999996006489,0.00925999972969294,0.0111999996006489,0.254989951848984,2.855,-0.158116146922112,5.41164588928223,1,0,0.904762029647827,7,49,343,1.99268544
1906,1,90,92,1,1,0,0,0,-0.00955600012093782,-0.0145500004291534,0.00955600012093782,0.0145500004291534,0.634688496589661,2.855,-0.176590457558632,4.6913480758667,1,0,0.904762029647827,15,225,3375,1.99268544
1907,0,300,630,1,0,0,0,0,-0.00193100003525615,-0.00432199984788895,0.00193100003525615,0.00432199984788895,0.0819673612713814,2.9975,-0.00089670717716217,7.5908522605896,0,0,0.756097972393036,52,2704,140608,1.725523379
1907,0,300,255,1,1,0,1,0,0.00249999994412065,0.000919000012800097,0.00249999994412065,0.000919000012800097,0.368833869695663,2.9975,-0.0109022259712219,5.7868971824646,1,0,1,40,1600,64000,1.725523379
1907,1,93,92,0,0,0,0,0,0,0,0,0,0.560568630695343,2.9975,-0.126839399337769,5.41610050201416,0,0,0.967480003833771,7,49,343,1.725523379
1907,1,93,91,1,1,1,0,0,0,0,0,0,0.823425531387329,2.9975,NA,5.00394630432129,1,NA,0.967480003833771,7,49,343,1.725523379
1908,0,220,100,1,0,0,0,1,0.000583000015467405,0.000645000021904707,0.000583000015467405,0.000645000021904707,0.0163447875529528,2.9225,0.00310490000993013,8.58821105957031,0,0,0.84127002954483,74,5476,405224,1.100987611
1909,0,220,350,1,0,0,0,1,0.000155000001541339,0,0.000155000001541339,0,0.0256672725081444,3.0175,-0.00297685526311398,7.17395830154419,0,1,0.844960987567902,11,121,1331,0.482386065
1909,1,230,600,1,0,0,0,1,0.000829999975394458,0,0.000829999975394458,0,0.0777847096323967,3.0175,-0.0285919234156609,6.159095287323,0,0,0.875968992710114,0,0,0,0.482386065
